Automóveis;R$ 93.000;https://ba.olx.com.br/sul-da-bahia/autos-e-pecas/carros-vans-e-utilitarios/automoveis-1124818188
Automóveis e carros;R$ 145.000;https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/autos-e-pecas/carros-vans-e-utilitarios/automoveis-e-carros-1115774585
Automóveis;R$ 14.000;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/automoveis-1115381037
Consórcio - Automóveis;;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/consorcio-automoveis-1109944834
Aircross 1.6 2015 manual - Abaide Automoveis;R$ 39.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/aircross-1-6-2015-manual-abaide-automoveis-1040679943
Virtus 1.0 200 Tsi 2021 - Abaide Automoveis;R$ 85.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/virtus-1-0-200-tsi-2021-abaide-automoveis-1071961010
Sandero Expression 1.0 - Abaide Automoveis;R$ 38.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/sandero-expression-1-0-abaide-automoveis-1110458892
Asx Aut 2018 C/ Teto Top - Abaide Automoveis;R$ 98.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/asx-aut-2018-c-teto-top-abaide-automoveis-1084730443
H-rv Lx 2.0 Aut 2016 - Abaide Automoveis;R$ 82.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/h-rv-lx-2-0-aut-2016-abaide-automoveis-1094220305
Hb20 Hatch Premium 1.6 Aut 2016 - Abaide Automoveis;R$ 61.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/hb20-hatch-premium-1-6-aut-2016-abaide-automoveis-1070299219
Tracker 1.4 Turbo 2018/2019 Apenas 28.000 km rodados;R$ 97.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/tracker-1-4-turbo-2018-2019-apenas-28-000-km-rodados-1123626378
Duster Oroch Express 1.6 SCe 2019/2020;R$ 78.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/duster-oroch-express-1-6-sce-2019-2020-1123434039
Creta 2.0 Sport 2018/2019 único dono;R$ 102.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/creta-2-0-sport-2018-2019-unico-dono-1109484154
FORD KA 1.0 TI-VCT FLEX TECNO MANUAL;R$ 49.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-ti-vct-flex-tecno-manual-1125078018
Palio Weekend Attarctive 1.4 Flex 17/17;R$ 44.999;https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/autos-e-pecas/carros-vans-e-utilitarios/palio-weekend-attarctive-1-4-flex-17-17-1125015990
DUSTER 2016/2017 1.6 16V SCE FLEX EXPRESSION MANUAL;R$ 64.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/duster-2016-2017-1-6-16v-sce-flex-expression-manual-1124994910
I30;R$ 34.900;https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/autos-e-pecas/carros-vans-e-utilitarios/i30-1124978243
Gol 2019 MSI 1.6 Completo;R$ 48.000;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/gol-2019-msi-1-6-completo-1124872549
Cactus 1.6 Feel Aut. 2021/2022 Apenas 24.000 Km Rodados;R$ 84.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/cactus-1-6-feel-aut-2021-2022-apenas-24-000-km-rodados-1124846263
DUSTER OROCH 2016/2017 1.6 16V FLEX EXPRESSION 4P MANUAL;R$ 79.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/duster-oroch-2016-2017-1-6-16v-flex-expression-4p-manual-1121488481
Duster 2.0 4x2 2013;R$ 42.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/duster-2-0-4x2-2013-1038722723
HB20S Impress 2015 Motor 1.6;R$ 49.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/hb20s-impress-2015-motor-1-6-1056471172
Citroen C3 Origine 2013 Motor : 1.5;R$ 30.900;https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-origine-2013-motor-1-5-1056511928
